Period,Value,Series_Name,Frequency,Units,year,month,quarter
202106,717,"East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly",M,Thousand Barrels per Day,2021,6,2
202105,699,"East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly",M,Thousand Barrels per Day,2021,5,2
202104,630,"East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly",M,Thousand Barrels per Day,2021,4,2
202103,677,"East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly",M,Thousand Barrels per Day,2021,3,1
202102,592,"East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly",M,Thousand Barrels per Day,2021,2,1
202101,597,"East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly",M,Thousand Barrels per Day,2021,1,1
202012,592,"East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly",M,Thousand Barrels per Day,2020,12,4
202011,591,"East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly",M,Thousand Barrels per Day,2020,11,4
202010,570,"East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly",M,Thousand Barrels per Day,2020,10,4
202009,548,"East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly",M,Thousand Barrels per Day,2020,9,3
202008,599,"East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly",M,Thousand Barrels per Day,2020,8,3
202007,523,"East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly",M,Thousand Barrels per Day,2020,7,3
202006,606,"East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly",M,Thousand Barrels per Day,2020,6,2
202005,598,"East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly",M,Thousand Barrels per Day,2020,5,2
202004,527,"East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly",M,Thousand Barrels per Day,2020,4,2
202003,637,"East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly",M,Thousand Barrels per Day,2020,3,1
202002,689,"East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly",M,Thousand Barrels per Day,2020,2,1
202001,767,"East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly",M,Thousand Barrels per Day,2020,1,1
201912,804,"East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly",M,Thousand Barrels per Day,2019,12,4
201911,799,"East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly",M,Thousand Barrels per Day,2019,11,4
201910,730,"East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly",M,Thousand Barrels per Day,2019,10,4
201909,819,"East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly",M,Thousand Barrels per Day,2019,9,3
201908,846,"East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly",M,Thousand Barrels per Day,2019,8,3
201907,887,"East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly",M,Thousand Barrels per Day,2019,7,3
201906,1035,"East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly",M,Thousand Barrels per Day,2019,6,2
201905,1087,"East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly",M,Thousand Barrels per Day,2019,5,2
201904,1029,"East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly",M,Thousand Barrels per Day,2019,4,2
201903,913,"East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly",M,Thousand Barrels per Day,2019,3,1
201902,776,"East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly",M,Thousand Barrels per Day,2019,2,1
201901,1013,"East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly",M,Thousand Barrels per Day,2019,1,1
201812,1048,"East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly",M,Thousand Barrels per Day,2018,12,4
201811,1008,"East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly",M,Thousand Barrels per Day,2018,11,4
201810,922,"East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly",M,Thousand Barrels per Day,2018,10,4
201809,1003,"East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly",M,Thousand Barrels per Day,2018,9,3
201808,1068,"East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly",M,Thousand Barrels per Day,2018,8,3
201807,1139,"East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly",M,Thousand Barrels per Day,2018,7,3
201806,1128,"East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly",M,Thousand Barrels per Day,2018,6,2
201805,1157,"East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly",M,Thousand Barrels per Day,2018,5,2
201804,1110,"East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly",M,Thousand Barrels per Day,2018,4,2
201803,920,"East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly",M,Thousand Barrels per Day,2018,3,1
201802,968,"East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly",M,Thousand Barrels per Day,2018,2,1
201801,1068,"East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly",M,Thousand Barrels per Day,2018,1,1
201712,1116,"East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly",M,Thousand Barrels per Day,2017,12,4
201711,1160,"East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly",M,Thousand Barrels per Day,2017,11,4
201710,1096,"East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly",M,Thousand Barrels per Day,2017,10,4
201709,1106,"East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly",M,Thousand Barrels per Day,2017,9,3
201708,1140,"East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly",M,Thousand Barrels per Day,2017,8,3
201707,1078,"East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly",M,Thousand Barrels per Day,2017,7,3
201706,1129,"East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly",M,Thousand Barrels per Day,2017,6,2
201705,1111,"East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly",M,Thousand Barrels per Day,2017,5,2
201704,1062,"East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly",M,Thousand Barrels per Day,2017,4,2
201703,891,"East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly",M,Thousand Barrels per Day,2017,3,1
201702,902,"East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly",M,Thousand Barrels per Day,2017,2,1
201701,1050,"East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly",M,Thousand Barrels per Day,2017,1,1
201612,1063,"East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly",M,Thousand Barrels per Day,2016,12,4
201611,1118,"East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly",M,Thousand Barrels per Day,2016,11,4
201610,1091,"East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly",M,Thousand Barrels per Day,2016,10,4
201609,1108,"East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly",M,Thousand Barrels per Day,2016,9,3
201608,1098,"East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly",M,Thousand Barrels per Day,2016,8,3
201607,1061,"East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly",M,Thousand Barrels per Day,2016,7,3
201606,1126,"East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly",M,Thousand Barrels per Day,2016,6,2
201605,1184,"East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly",M,Thousand Barrels per Day,2016,5,2
201604,1158,"East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly",M,Thousand Barrels per Day,2016,4,2
201603,1061,"East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly",M,Thousand Barrels per Day,2016,3,1
201602,1093,"East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly",M,Thousand Barrels per Day,2016,2,1
201601,1137,"East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly",M,Thousand Barrels per Day,2016,1,1
201512,1145,"East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly",M,Thousand Barrels per Day,2015,12,4
201511,1201,"East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly",M,Thousand Barrels per Day,2015,11,4
201510,1143,"East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly",M,Thousand Barrels per Day,2015,10,4
201509,1072,"East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly",M,Thousand Barrels per Day,2015,9,3
201508,1200,"East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly",M,Thousand Barrels per Day,2015,8,3
201507,1181,"East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly",M,Thousand Barrels per Day,2015,7,3
201506,1167,"East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly",M,Thousand Barrels per Day,2015,6,2
201505,1162,"East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly",M,Thousand Barrels per Day,2015,5,2
201504,1130,"East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly",M,Thousand Barrels per Day,2015,4,2
201503,1078,"East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly",M,Thousand Barrels per Day,2015,3,1
201502,871,"East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly",M,Thousand Barrels per Day,2015,2,1
201501,1087,"East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly",M,Thousand Barrels per Day,2015,1,1
201412,1080,"East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly",M,Thousand Barrels per Day,2014,12,4
201411,1111,"East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly",M,Thousand Barrels per Day,2014,11,4
201410,1131,"East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly",M,Thousand Barrels per Day,2014,10,4
201409,1156,"East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly",M,Thousand Barrels per Day,2014,9,3
201408,1082,"East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly",M,Thousand Barrels per Day,2014,8,3
201407,1135,"East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly",M,Thousand Barrels per Day,2014,7,3
201406,1179,"East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly",M,Thousand Barrels per Day,2014,6,2
201405,1148,"East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly",M,Thousand Barrels per Day,2014,5,2
201404,1073,"East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly",M,Thousand Barrels per Day,2014,4,2
201403,1014,"East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly",M,Thousand Barrels per Day,2014,3,1
201402,979,"East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly",M,Thousand Barrels per Day,2014,2,1
201401,955,"East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly",M,Thousand Barrels per Day,2014,1,1
201312,1067,"East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly",M,Thousand Barrels per Day,2013,12,4
201311,956,"East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly",M,Thousand Barrels per Day,2013,11,4
201310,888,"East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly",M,Thousand Barrels per Day,2013,10,4
201309,1084,"East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly",M,Thousand Barrels per Day,2013,9,3
201308,1073,"East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly",M,Thousand Barrels per Day,2013,8,3
201307,1085,"East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly",M,Thousand Barrels per Day,2013,7,3
201306,1134,"East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly",M,Thousand Barrels per Day,2013,6,2
201305,1134,"East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly",M,Thousand Barrels per Day,2013,5,2
201304,1083,"East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly",M,Thousand Barrels per Day,2013,4,2
201303,1019,"East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly",M,Thousand Barrels per Day,2013,3,1
201302,879,"East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly",M,Thousand Barrels per Day,2013,2,1
201301,1043,"East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly",M,Thousand Barrels per Day,2013,1,1
201212,971,"East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly",M,Thousand Barrels per Day,2012,12,4
201211,904,"East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly",M,Thousand Barrels per Day,2012,11,4
201210,1003,"East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly",M,Thousand Barrels per Day,2012,10,4
201209,950,"East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly",M,Thousand Barrels per Day,2012,9,3
201208,944,"East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly",M,Thousand Barrels per Day,2012,8,3
201207,962,"East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly",M,Thousand Barrels per Day,2012,7,3
201206,939,"East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly",M,Thousand Barrels per Day,2012,6,2
201205,845,"East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly",M,Thousand Barrels per Day,2012,5,2
201204,919,"East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly",M,Thousand Barrels per Day,2012,4,2
201203,904,"East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly",M,Thousand Barrels per Day,2012,3,1
201202,857,"East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly",M,Thousand Barrels per Day,2012,2,1
201201,824,"East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly",M,Thousand Barrels per Day,2012,1,1
201112,935,"East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly",M,Thousand Barrels per Day,2011,12,4
201111,1102,"East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly",M,Thousand Barrels per Day,2011,11,4
201110,1131,"East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly",M,Thousand Barrels per Day,2011,10,4
201109,1237,"East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly",M,Thousand Barrels per Day,2011,9,3
201108,1223,"East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly",M,Thousand Barrels per Day,2011,8,3
201107,1286,"East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly",M,Thousand Barrels per Day,2011,7,3
201106,1117,"East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly",M,Thousand Barrels per Day,2011,6,2
201105,1149,"East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly",M,Thousand Barrels per Day,2011,5,2
201104,928,"East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly",M,Thousand Barrels per Day,2011,4,2
201103,971,"East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly",M,Thousand Barrels per Day,2011,3,1
201102,1010,"East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly",M,Thousand Barrels per Day,2011,2,1
201101,1061,"East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly",M,Thousand Barrels per Day,2011,1,1
201012,1038,"East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly",M,Thousand Barrels per Day,2010,12,4
201011,940,"East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly",M,Thousand Barrels per Day,2010,11,4
201010,845,"East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly",M,Thousand Barrels per Day,2010,10,4
201009,1093,"East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly",M,Thousand Barrels per Day,2010,9,3
201008,1215,"East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly",M,Thousand Barrels per Day,2010,8,3
201007,1241,"East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly",M,Thousand Barrels per Day,2010,7,3
201006,1243,"East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly",M,Thousand Barrels per Day,2010,6,2
201005,1260,"East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly",M,Thousand Barrels per Day,2010,5,2
201004,1214,"East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly",M,Thousand Barrels per Day,2010,4,2
201003,1085,"East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly",M,Thousand Barrels per Day,2010,3,1
201002,1181,"East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly",M,Thousand Barrels per Day,2010,2,1
201001,1069,"East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly",M,Thousand Barrels per Day,2010,1,1
200912,1094,"East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly",M,Thousand Barrels per Day,2009,12,4
200911,1163,"East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly",M,Thousand Barrels per Day,2009,11,4
200910,1324,"East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly",M,Thousand Barrels per Day,2009,10,4
200909,1336,"East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly",M,Thousand Barrels per Day,2009,9,3
200908,1316,"East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly",M,Thousand Barrels per Day,2009,8,3
200907,1348,"East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly",M,Thousand Barrels per Day,2009,7,3
200906,1352,"East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly",M,Thousand Barrels per Day,2009,6,2
200905,1261,"East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly",M,Thousand Barrels per Day,2009,5,2
200904,1156,"East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly",M,Thousand Barrels per Day,2009,4,2
200903,1154,"East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly",M,Thousand Barrels per Day,2009,3,1
200902,1252,"East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly",M,Thousand Barrels per Day,2009,2,1
200901,1355,"East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly",M,Thousand Barrels per Day,2009,1,1
200812,1282,"East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly",M,Thousand Barrels per Day,2008,12,4
200811,1346,"East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly",M,Thousand Barrels per Day,2008,11,4
200810,1494,"East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly",M,Thousand Barrels per Day,2008,10,4
200809,1456,"East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly",M,Thousand Barrels per Day,2008,9,3
200808,1464,"East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly",M,Thousand Barrels per Day,2008,8,3
200807,1437,"East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly",M,Thousand Barrels per Day,2008,7,3
200806,1446,"East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly",M,Thousand Barrels per Day,2008,6,2
200805,1427,"East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly",M,Thousand Barrels per Day,2008,5,2
200804,1400,"East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly",M,Thousand Barrels per Day,2008,4,2
200803,1325,"East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly",M,Thousand Barrels per Day,2008,3,1
200802,1442,"East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly",M,Thousand Barrels per Day,2008,2,1
200801,1536,"East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly",M,Thousand Barrels per Day,2008,1,1
200712,1537,"East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly",M,Thousand Barrels per Day,2007,12,4
200711,1584,"East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly",M,Thousand Barrels per Day,2007,11,4
200710,1591,"East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly",M,Thousand Barrels per Day,2007,10,4
200709,1547,"East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly",M,Thousand Barrels per Day,2007,9,3
200708,1507,"East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly",M,Thousand Barrels per Day,2007,8,3
200707,1551,"East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly",M,Thousand Barrels per Day,2007,7,3
200706,1547,"East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly",M,Thousand Barrels per Day,2007,6,2
200705,1586,"East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly",M,Thousand Barrels per Day,2007,5,2
200704,1465,"East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly",M,Thousand Barrels per Day,2007,4,2
200703,1351,"East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly",M,Thousand Barrels per Day,2007,3,1
200702,1373,"East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly",M,Thousand Barrels per Day,2007,2,1
200701,1511,"East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly",M,Thousand Barrels per Day,2007,1,1
200612,1505,"East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly",M,Thousand Barrels per Day,2006,12,4
200611,1538,"East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly",M,Thousand Barrels per Day,2006,11,4
200610,1549,"East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly",M,Thousand Barrels per Day,2006,10,4
200609,1638,"East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly",M,Thousand Barrels per Day,2006,9,3
200608,1577,"East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly",M,Thousand Barrels per Day,2006,8,3
200607,1457,"East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly",M,Thousand Barrels per Day,2006,7,3
200606,1513,"East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly",M,Thousand Barrels per Day,2006,6,2
200605,1469,"East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly",M,Thousand Barrels per Day,2006,5,2
200604,1415,"East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly",M,Thousand Barrels per Day,2006,4,2
